Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL249578,0,O=C(CCC1=CCCN(Cc2ccc3ccccc3c2)C1=O)NO,GI50,>,10000,nM,CHEMBL924463,Inhibition of HDAC in HeLa cell lysates,B,BAO_0000224,protein format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1140539,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308376
CHEMBL411264,0,O=C(CCCCCNC(=O)Nc1cccc(-c2nc3ccc(F)cc3o2)c1)NO,IC50,=,9,nM,CHEMBL949104,Inhibition of HDAC from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL201473,0,O=C(CCCCC[S+]([O-])c1ccccc1)NO,IC50,=,7400,nM,CHEMBL949107,Inhibition of HDAC in human CEM cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CCRF-CEM,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,CHEMBL3307641
CHEMBL371212,0,O=C(CCCCCSc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1)NO,IC50,=,110,nM,CHEMBL949106,Inhibition of human liver HDAC,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None
CHEMBL259028,0,O=C(/C=C/c1ccccc1S(=O)(=O)Nc1ccc2ccccc2c1)NO,Activity,,,,CHEMBL949104,Inhibition of HDAC from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL270733,0,O=C(/C=C/c1cccc(S(=O)(=O)NCc2ccccc2)c1)NO,IC50,=,34,nM,CHEMBL949104,Inhibition of HDAC from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL1096984,2,O=C(O)CC/C=C\C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,Inhibition,=,30,%,CHEMBL1121256,Inhibition of HDAC in human HeLa cell nuclear extract assessed as inhibition of histone H4 deacetylation at 100 uM after 15 mins by fluorescence assay,B,BAO_0000224,protein format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1158553,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308376
CHEMBL519853,0,O=C(CCCCCC(=O)N(Cc1ccccc1)C(Cc1ccccc1)C(=O)NC1CCCCC1)NO,Inhibition,,,%,CHEMBL1010567,Inhibition of HDAC in human SHSY5Y cells at 10 uM by fluorimetric cellular activity assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SH-SY5Y,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1138448,1,Scientific Literature,J Med Chem,2009,CHEMBL3307740
CHEMBL1243321,0,O=C(CCCCc1cc(Cc2nn[nH]n2)no1)Nc1ccccc1,Inhibition,=,0,%,CHEMBL1246056,Inhibition of HDAC in human HeLa cells at 0.1 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL1243226,0,Nc1ccccc1-c1cc(CCCCC(=O)Nc2ccccc2)on1,Inhibition,=,0.5,%,CHEMBL1246057,Inhibition of HDAC in human HeLa cells at 10 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL541239,0,O=C(CCCCc1ccc(-c2ccccc2)cc1)NO,Activity,,,,CHEMBL1034729,Inhibition of HDAC in human IGROV1 cells assessed as histone-H4 acetylation at IC80 after 4 hrs by Western blot,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IGROV-1,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1158371,1,Scientific Literature,Eur J Med Chem,2009,CHEMBL3307502
CHEMBL538364,0,COc1ccc(-c2ccc(/C=C/C=C/C(=O)NO)cc2)cc1,Activity,,,,CHEMBL1034729,Inhibition of HDAC in human IGROV1 cells assessed as histone-H4 acetylation at IC80 after 4 hrs by Western blot,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IGROV-1,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1158371,1,Scientific Literature,Eur J Med Chem,2009,CHEMBL3307502
CHEMBL480884,0,CCSC(=S)SCC(=O)c1ccc(CNC(C)=O)cc1,IC50,=,719,nM,CHEMBL949573,Inhibition of nuclear HDAC isolated from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL439842,0,CCSC(=S)SCC(=O)c1cccc(CNC(C)=O)c1,IC50,=,6590,nM,CHEMBL949573,Inhibition of nuclear HDAC isolated from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL481297,0,CCNC(=S)SCC(=O)c1ccc(NC(C)=O)cc1,IC50,=,94,nM,CHEMBL949573,Inhibition of nuclear HDAC isolated from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
