Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL235842,0,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,IC50,>,20000,nM,0,CHEMBL948013,Inhibition of HDAC4,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None
CHEMBL27759,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1213419,1,CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)Nc1ccc2c(C)cc(=O)oc2c1,Activity,,,,0,CHEMBL1216976,Activity of HDAC4 at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1212811,1,Scientific Literature,Nat Chem Biol,2010,None
CHEMBL235674,1,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,>,50000,nM,0,CHEMBL927764,Inhibition of HDAC4,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1140803,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL1096981,1,C[C@H](O)C(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,Inhibition,=,50,%,0,CHEMBL1121320,Inhibition of human HDAC4 catalytic domain expressed in Escherichia coli BL21 at 100 uM after 15 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1158553,1,Scientific Literature,Bioorg Med Chem,2010,None
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL430060,1,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,IC50,=,3600,nM,0,CHEMBL931623,Inhibition of HDAC4 H976Y mutant expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1144011,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL1914702,2,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)Nc2ccc(-c3cc(C(=O)NCCCCCCC(=O)NO)no3)cc2)c1,IC50,=,432,nM,0,CHEMBL1921152,Inhibition of human recombinant HDAC4 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None
CHEMBL1914708,0,[N-]=[N+]=NCc1cc(Cn2cc(NC(=O)CCCCCCC(=O)NO)cn2)cc(N=[N+]=[N-])c1,IC50,=,379,nM,0,CHEMBL1921152,Inhibition of human recombinant HDAC4 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None
CHEMBL462370,0,O=C(c1ccc(-c2nc(-c3cccnc3)no2)s1)C(F)(F)F,IC50,=,70,nM,0,CHEMBL953324,Inhibition of His-tagged HDAC4 catalytic domain expressed in Escherichia coli,B,BAO_0000019,assay format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1152136,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
