Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL235842,0,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,IC50,>,10000,nM,CHEMBL947927,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1143185,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL1213492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1257047,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL96051,0,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,Inhibition,,,%,CHEMBL1267906,Inhibition of HDAC7 in human CFBE41o- cell line assessed as correction of mutant Fdelta508 CFTR trafficking to cell surface as glycoform at 1 uM by Immunoblot analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1255383,1,Scientific Literature,Nat Chem Biol,2010,None,,
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1213419,1,CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)Nc1ccc2c(C)cc(=O)oc2c1,Activity,,,,CHEMBL1216979,Activity of HDAC7 at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1212811,1,Scientific Literature,Nat Chem Biol,2010,None,,
CHEMBL2381743,0,COc1cc(Br)c(Cn2cc(CCCCC(=O)NO)nn2)cc1OC,Inhibition,,,%,CHEMBL2383094,Inhibition of human recombinant HDAC7 at 10 uM incubated for 10 mins prior to substrate addition measured after 60 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL2380293,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL2381731,0,O=C(CCCCc1cn(Cc2ccc(-c3ccccc3)cc2)nn1)NO,Inhibition,,,%,CHEMBL2383094,Inhibition of human recombinant HDAC7 at 10 uM incubated for 10 mins prior to substrate addition measured after 60 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL2380293,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
