Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL1213457,,None,357.32,1,1.09,22,O=C(/C=C/c1ccc(C(=O)N/N=C/c2ccc(O)c(O)c2O)cc1)NO,Ki,=,1400,nM,5.85,,,UO_0000065,16.38,0.31,4.76,3.86,0,CHEMBL1216990,Inhibition of human HDAC9,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1212811,1,Scientific Literature,Nat Chem Biol,2010,None,,
CHEMBL99,TRICHOSTATIN,1,302.37,0,2.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL402363,AZUMAMIDE E,None,514.62,1,1.31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL356066,DACINOSTAT,-1,379.46,0,2.72,NVP-LAQ824,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,IC50,=,8.24,nM,8.08,,,UO_0000065,21.3,0.39,5.36,9.13,0,CHEMBL1634307,Inhibition of human HDAC9 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL3110015,,None,349.37,0,3.29,13,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,IC50,=,200,nM,6.7,,,UO_0000065,19.17,0.35,3.41,8.92,0,CHEMBL3796511,Inhibition of HDAC9 catalytic domain (unknown origin) using Boc-Lys(TFA)-AMC as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,None,,
CHEMBL1767031,,None,356.43,0,3.09,15,CNC(=O)/C(CCCCCCC(=O)Nc1cnc2ccccc2c1)=N\O,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL1767519,Inhibition of human HDAC9 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL402727,AZUMAMIDE B,None,529.64,2,0.41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL55895,PHENYLBUTYRYLHYDROXAMIC ACID,None,179.22,0,1.51,4,O=C(CCCc1ccccc1)NO,IC50,=,430000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL1680139,Inhibition of human recombinant HDAC9,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1671826,1,Scientific Literature,ACS Med Chem Lett,2011,None,,
CHEMBL109,VALPROIC ACID,4,144.21,0,2.29,5,CCCC(CCC)C(=O)O,IC50,>,2000000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL1680139,Inhibition of human recombinant HDAC9,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1671826,1,Scientific Literature,ACS Med Chem Lett,2011,None,,
CHEMBL251011,,None,400.48,0,3.68,(R/S)-7,COc1ccc(COC(CCCCCC(=O)NO)C(=O)Nc2ccccc2)cc1,IC50,=,247,nM,6.61,,,UO_0000065,16.5,0.31,2.93,6.82,0,CHEMBL1634307,Inhibition of human HDAC9 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL556332,,None,255.27,0,2.58,1b,O=C(/C=C/c1ccc(-c2ccc(O)cc2)cc1)NO,IC50,=,8920,nM,5.05,,,UO_0000065,19.78,0.36,2.47,7.26,0,CHEMBL3238612,Inhibition of human HDAC9 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL538364,,None,295.34,0,3.44,1d,COc1ccc(-c2ccc(/C=C/C=C/C(=O)NO)cc2)cc1,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL3238612,Inhibition of human HDAC9 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL3335299,,None,364.45,0,3.89,21,O=C(CCCCc1ccn(Cc2ccc(Nc3ccccc3)cc2)n1)NO,IC50,=,18300,nM,4.74,,,UO_0000065,13,0.24,0.85,5.98,0,CHEMBL3388845,Inhibition of human recombinant HDAC9 after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL4563988,,None,359.42,0,3.85,18,COC(=O)c1ccc2ccccc2c1OCCCCCCCC(=O)NO,Inhibition,=,-14.3,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL4398741,Inhibition of human recombinant HDAC9 at 10 uM using fluorogenic HDAC substrate class 2a measured after 30 mins by fluorimetry assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4396900,1,Scientific Literature,ACS Med Chem Lett,2019,None,,
CHEMBL3735750,,None,338.32,0,2.68,22,O=C(O)c1ccc(CNC(=O)c2coc(-c3ccccc3O)n2)cc1,Inhibition,=,26.3,%,,,,UO_0000187,,,,,0,CHEMBL3738581,Inhibition of human recombinant HDAC9 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None,,
CHEMBL1213492,GIVINOSTAT,3,421.5,0,4.55,Givinostat,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,Ki,=,390,nM,6.41,,,UO_0000065,15.21,0.28,1.86,7.05,0,CHEMBL3598919,Inhibition of human HDAC9,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3596180,1,Scientific Literature,Bioorg Med Chem,2015,None,,
CHEMBL396097,,None,227.26,0,2.32,2,O=C(NO)C(c1ccccc1)c1ccccc1,IC50,=,510,nM,6.29,,,UO_0000065,27.69,0.51,3.97,12.76,1,CHEMBL3112171,Inhibition of human recombinant HDAC9 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL4283105,,None,372.42,0,2.75,234d,O=C(NO)c1ccc(Cn2c3c(c4cc(F)ccc42)C[S+]([O-])CC3)cc1,IC50,=,500,nM,6.3,,,UO_0000065,16.92,0.33,3.55,8.15,0,CHEMBL4422774,Inhibition of human HDAC9 using fluorogenic HDAC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,
CHEMBL4450128,,None,432.49,1,5.73,244d,O=C(NO)c1ccc(CN2c3cc(C(F)(F)F)ccc3CCC[C@@H]3CCCC[C@H]32)cc1,IC50,>,30000,nM,,,,UO_0000065,,,,,0,CHEMBL4422774,Inhibition of human HDAC9 using fluorogenic HDAC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,
CHEMBL4176214,,None,483.57,0,4.52,6j,COc1cc2ccn(CCOc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)c2cc1OC,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL4143556,Inhibition of C-terminal His-tagged recombinant human HDAC9 expressed in baculovirus infected Sf9 insect cells preincubated for 5 mins followed by substrate addition measured after 30 mins by fluorescence assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4138235,1,Scientific Literature,Eur J Med Chem,2018,None,,
CHEMBL1631912,,None,392.5,0,3.81,(R/S)-8c,O=C(CCCCCC1OCCCCCCCOc2ccccc2NC1=O)NO,IC50,=,1040,nM,5.98,,,UO_0000065,15.24,0.29,2.17,6.18,0,CHEMBL1634307,Inhibition of human HDAC9 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL1767035,,None,384.27,0,3.3,19,CNC(=O)/C(CCCCCCC(=O)Nc1cccc(Br)c1)=N\O,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL1767519,Inhibition of human HDAC9 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1767044,,None,387.44,0,2.18,33,CNC(=O)/C(CCCCCCNC(=O)c1cc(-c2ccc(N)cc2)on1)=N/O,IC50,=,6500,nM,5.19,,,UO_0000065,13.39,0.25,3.01,3.63,0,CHEMBL1767519,Inhibition of human HDAC9 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL2381517,,None,284.31,0,1.78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1672332,BUTYRYLHYDROXAMIC ACID,None,103.12,0,0.29,2,CCCC(=O)NO,IC50,>,2000000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL1680139,Inhibition of human recombinant HDAC9,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1671826,1,Scientific Literature,ACS Med Chem Lett,2011,None,,
CHEMBL4086093,,None,363.46,0,2.04,4a,O=C(CCCCCCC(=O)Nc1ccccc1CN1CC[C@H](O)C1)NO,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL4051218,Inhibition of HDAC 9 in human HeLa nuclear extract using fluorogenic HDAC class 2A substrate measured after 60 mins by fluorometric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4049428,1,Scientific Literature,J Med Chem,2017,None,,
CHEMBL3262727,,None,343.36,0,1.79,12,O=C(/C=C/c1cccc(S(=O)(=O)n2ccc3cccnc32)c1)NO,IC50,=,5340,nM,5.27,,,UO_0000065,15.36,0.3,3.48,5.21,0,CHEMBL3266026,Inhibition of HDAC9 (unknown origin) by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3259569,1,Scientific Literature,J Med Chem,2014,None,,
CHEMBL2323285,,None,605.79,2,3.44,6,CCCCCCCC(=O)SCC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)-c2nnn(n2)CC(=O)N[C@@H](C(C)C)C(=O)O1,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL2328536,Inhibition of C-terminal His-tagged human recombinant HDAC9 (amino acids 604- 1066) expressed in baculovirus expression system using fluorogenic acetylated peptide as substrate preincubated with enzyme for 10 mins prior to substrate addition measured after 60 mins by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL2321647,1,Scientific Literature,ACS Med Chem Lett,2013,None,,
CHEMBL1173445,LARGAZOLE,None,622.88,2,5.03,3,CCCCCCCC(=O)SCC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)C2=N[C@@](C)(CS2)C(=O)N[C@@H](C(C)C)C(=O)O1,IC50,=,8330,nM,5.08,,,UO_0000065,8.15,0.17,0.05,4.01,0,CHEMBL2328536,Inhibition of C-terminal His-tagged human recombinant HDAC9 (amino acids 604- 1066) expressed in baculovirus expression system using fluorogenic acetylated peptide as substrate preincubated with enzyme for 10 mins prior to substrate addition measured after 60 mins by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL2321647,1,Scientific Literature,ACS Med Chem Lett,2013,None,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,Vorinostat,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,=,22800,nM,4.64,,,UO_0000065,17.56,0.33,2.17,5.92,0,CHEMBL3388845,Inhibition of human recombinant HDAC9 after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL1958431,,None,417.49,0,1.72,10,COc1ccc(N2CCN(S(=O)(=O)c3cccc(/C=C/C(=O)NO)c3)CC2)cc1,ED50,=,1179,nM,5.93,,,UO_0000065,,,,,0,CHEMBL1961035,Inhibition of human recombinant HDAC9 expressed using baculovirus expression system using Flour- De-Lys as substrate after 3 hrs by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1955831,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,
CHEMBL1830424,,None,358.49,0,3.24,10s,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(C)C,Ki,=,11,nM,7.96,,,UO_0000065,22.2,0.42,4.72,11.31,0,CHEMBL1832528,Competitive inhibition of HDAC9 using KI-104 as substrate by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1828590,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL483254,PANOBINOSTAT,4,349.43,0,3.33,LBH589,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,Ki,=,1.2,nM,8.92,,,UO_0000065,25.53,0.47,5.59,11.56,0,CHEMBL1832528,Competitive inhibition of HDAC9 using KI-104 as substrate by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1828590,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL3335288,,None,259.31,0,2.09,10,O=C(CCCCc1ccn(-c2ccccc2)n1)NO,IC50,=,55800,nM,4.25,,,UO_0000065,16.4,0.31,2.16,6.33,0,CHEMBL3388845,Inhibition of human recombinant HDAC9 after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL1914702,,None,546.55,2,5.53,2b,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)Nc2ccc(-c3cc(C(=O)NCCCCCCC(=O)NO)no3)cc2)c1,IC50,=,37.8,nM,7.42,,,UO_0000065,13.58,0.25,1.89,3.21,0,CHEMBL1921148,Inhibition of human recombinant HDAC9 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1914702,,None,546.55,2,5.53,2b,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)Nc2ccc(-c3cc(C(=O)NCCCCCCC(=O)NO)no3)cc2)c1,Ratio IC50,=,1.88,,,,,,,,,,0,CHEMBL1920775,Selectivity ratio of compound IC50 to TSA IC50 for human recombinant HDAC9 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL99,TRICHOSTATIN,1,302.37,0,2.58,TSA,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,=,38.1,nM,7.42,,,UO_0000065,24.54,0.46,4.84,10.65,0,CHEMBL3238612,Inhibition of human HDAC9 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL3235463,,None,389.5,1,5.05,2b,O=C(/C=C/c1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)cc1)NO,IC50,=,41400,nM,4.38,,,UO_0000065,11.25,0.21,-0.67,6.3,0,CHEMBL3238612,Inhibition of human HDAC9 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL343448,ROMIDEPSIN,4,540.71,1,1.43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3622730,,None,606.81,1,4.42,12,C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSC(=O)CCCCCCC)OC(=O)[C@H](C(C)C)NC1=O,IC50,>,10000,nM,,,,UO_0000065,,,,,1,CHEMBL3627135,Inhibition of recombinant human HDAC9 after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3621100,1,Scientific Literature,J Med Chem,2015,None,,
CHEMBL3622729,,None,480.61,0,1.73,11,C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL3627135,Inhibition of recombinant human HDAC9 after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3621100,1,Scientific Literature,J Med Chem,2015,None,,
CHEMBL3622731,,None,522.65,1,2.08,13,C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSC(C)=O)OC(=O)[C@H](C(C)C)NC1=O,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL3627135,Inhibition of recombinant human HDAC9 after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3621100,1,Scientific Literature,J Med Chem,2015,None,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1083439,,None,293.32,0,1.19,5b,O=C(CCCCCNC(=O)NC(=O)c1ccccc1)NO,Ki,=,55,nM,7.26,,,UO_0000065,24.75,0.47,6.07,6.75,0,CHEMBL1119901,Inhibition of HDAC9,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1155491,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,
CHEMBL1958424,,None,388.45,0,1.11,3,O=C(/C=C/c1cccc(S(=O)(=O)N2CCN(c3ccccn3)CC2)c1)NO,ED50,=,86,nM,7.07,,,UO_0000065,,,,,0,CHEMBL1961035,Inhibition of human recombinant HDAC9 expressed using baculovirus expression system using Flour- De-Lys as substrate after 3 hrs by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1955831,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3675758,,None,364.45,0,4.22,BDBM124200,O=C(CCCCCCN(c1ccccn1)c1ccc2ccccc2n1)NO,IC50,=,90,nM,7.05,,253370,UO_0000065,19.33,0.36,2.83,8.99,0,CHEMBL3707491,In Vitro Assay: In vitro HDAC assays were performed using a HDAC fluorescent activity assay kit (Biomol,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3675763,,None,344.42,0,3.08,BDBM124205,COc1ccc(N(CCCCCCC(=O)NO)c2ccccn2)nc1,IC50,=,759,nM,6.12,,253386,UO_0000065,17.77,0.33,3.04,6.99,0,CHEMBL3707491,In Vitro Assay: In vitro HDAC assays were performed using a HDAC fluorescent activity assay kit (Biomol,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3774414,,None,396.45,0,3.38,23bb,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OCCCC(=O)NO,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL3778489,Inhibition of recombinant HDAC9 (unknown origin) using AMC labeled AC-peptide as substrate incubated for 1 hr by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3774354,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL3774414,,None,396.45,0,3.38,23bb,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OCCCC(=O)NO,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL3778494,Inhibition of recombinant HDAC9 (unknown origin) using AMC labeled AC-peptide as substrate at 10 uM incubated for 1 hr by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3774354,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL4471619,,None,336.44,0,3.93,244a,O=C(NO)c1ccc(CN2c3ccccc3C[C@@H]3CCCC[C@H]32)cc1,IC50,=,25000,nM,4.6,,,UO_0000065,13.68,0.25,0.67,8.75,0,CHEMBL4422774,Inhibition of human HDAC9 using fluorogenic HDAC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,
CHEMBL3311465,,None,333.39,0,2.36,13,O=C(CCCCCCC(=O)Nc1ccc2c(c1)CCC(=O)N2)NO,IC50,=,25,nM,7.6,,,UO_0000065,22.8,0.43,5.24,7.07,0,CHEMBL3373902,Inhibition of human HDAC9 pre-incubated for 30 mins before substrate addition and measured after 30 mins by HDAC-Glo I/II assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3351757,1,Scientific Literature,Bioorg Med Chem,2014,None,,
CHEMBL3309300,,None,401.51,0,3.13,43,CC1(C)CC(=O)Nc2ccc(C(=O)NC[C@H]3CC[C@@H](CCC(=O)NO)CC3)cc21,IC50,=,50,nM,7.3,,,UO_0000065,18.18,0.34,4.17,6.79,0,CHEMBL3373902,Inhibition of human HDAC9 pre-incubated for 30 mins before substrate addition and measured after 30 mins by HDAC-Glo I/II assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3351757,1,Scientific Literature,Bioorg Med Chem,2014,None,,
